Região,nome_uf,nome_mun,cod_mun_ibge,total_ubs
Centro-Oeste,Goiás,Itumbiara,521150,32
Centro-Oeste,Goiás,Ivolândia,521160,1
Centro-Oeste,Goiás,Jandaia,521170,3
Centro-Oeste,Goiás,Jaraguá,521180,12
Centro-Oeste,Goiás,Jataí,521190,17
Centro-Oeste,Goiás,Jaupaci,521200,2
Centro-Oeste,Goiás,Jesúpolis,521205,2
Centro-Oeste,Goiás,Joviânia,521210,1
Centro-Oeste,Goiás,Jussara,521220,7
Centro-Oeste,Goiás,Lagoa Santa,521225,1
Centro-Oeste,Goiás,Leopoldo de Bulhões,521230,4
Centro-Oeste,Goiás,Luziânia,521250,35
Centro-Oeste,Goiás,Mairipotaba,521260,1
Centro-Oeste,Goiás,Mambaí,521270,4
Centro-Oeste,Goiás,Mara Rosa,521280,4
Centro-Oeste,Goiás,Marzagão,521290,1
Centro-Oeste,Goiás,Matrinchã,521295,2
Centro-Oeste,Goiás,Maurilândia,521300,4
Centro-Oeste,Goiás,Mimoso de Goiás,521305,2
Centro-Oeste,Goiás,Minaçu,521308,7
Centro-Oeste,Goiás,Mineiros,521310,11
Centro-Oeste,Goiás,Moiporá,521340,2
Centro-Oeste,Goiás,Monte Alegre de Goiás,521350,3
Centro-Oeste,Goiás,Montes Claros de Goiás,521370,6
Centro-Oeste,Goiás,Montividiu,521375,6
Centro-Oeste,Goiás,Montividiu do Norte,521377,2
Centro-Oeste,Goiás,Morrinhos,521380,15
Centro-Oeste,Goiás,Morro Agudo de Goiás,521385,1
Centro-Oeste,Goiás,Mossâmedes,521390,2
Centro-Oeste,Goiás,Mozarlândia,521400,4
Centro-Oeste,Goiás,Mundo Novo,521405,1
Centro-Oeste,Goiás,Mutunópolis,521410,2
Centro-Oeste,Goiás,Nazário,521440,5
Centro-Oeste,Goiás,Nerópolis,521450,5
Centro-Oeste,Goiás,Niquelândia,521460,12
Centro-Oeste,Goiás,Nova América,521470,1
Centro-Oeste,Goiás,Nova Aurora,521480,2
Centro-Oeste,Goiás,Nova Crixás,521483,3
Centro-Oeste,Goiás,Nova Glória,521486,2
Centro-Oeste,Goiás,Nova Iguaçu de Goiás,521487,1
Centro-Oeste,Goiás,Nova Roma,521490,1
Centro-Oeste,Goiás,Nova Veneza,521500,3
Centro-Oeste,Goiás,Novo Brasil,521520,1
Centro-Oeste,Goiás,Novo Gama,521523,21
Centro-Oeste,Goiás,Novo Planalto,521525,2
Centro-Oeste,Goiás,Orizona,521530,8
Centro-Oeste,Goiás,Ouro Verde de Goiás,521540,1
Centro-Oeste,Goiás,Ouvidor,521550,2
Centro-Oeste,Goiás,Padre Bernardo,521560,11
Centro-Oeste,Goiás,Palestina de Goiás,521565,1
Centro-Oeste,Goiás,Palmeiras de Goiás,521570,5
Centro-Oeste,Goiás,Palmelo,521580,1
Centro-Oeste,Goiás,Palminópolis,521590,3
Centro-Oeste,Goiás,Panamá,521600,1
Centro-Oeste,Goiás,Paranaiguara,521630,3
Centro-Oeste,Goiás,Paraúna,521640,6
Centro-Oeste,Goiás,Perolândia,521645,1
Centro-Oeste,Goiás,Petrolina de Goiás,521680,2
Centro-Oeste,Goiás,Pilar de Goiás,521690,1
Centro-Oeste,Goiás,Piracanjuba,521710,8
Centro-Oeste,Goiás,Piranhas,521720,3
Centro-Oeste,Goiás,Pirenópolis,521730,7
Centro-Oeste,Goiás,Pires do Rio,521740,8
Centro-Oeste,Goiás,Planaltina,521760,29
Centro-Oeste,Goiás,Pontalina,521770,7
Centro-Oeste,Goiás,Porangatu,521800,14
Centro-Oeste,Goiás,Porteirão,521805,1
Centro-Oeste,Goiás,Portelândia,521810,1
Centro-Oeste,Goiás,Posse,521830,13
Centro-Oeste,Goiás,Professor Jamil,521839,1
Centro-Oeste,Goiás,Quirinópolis,521850,16
Centro-Oeste,Goiás,Rialma,521860,5
Centro-Oeste,Goiás,Rianápolis,521870,2
Centro-Oeste,Goiás,Rio Quente,521878,1
Centro-Oeste,Goiás,Rio Verde,521880,22
Centro-Oeste,Goiás,Rubiataba,521890,9
Centro-Oeste,Goiás,Sanclerlândia,521900,4
Centro-Oeste,Goiás,Santa Bárbara de Goiás,521910,2
Centro-Oeste,Goiás,Santa Cruz de Goiás,521920,1
Centro-Oeste,Goiás,Santa Fé de Goiás,521925,2
Centro-Oeste,Goiás,Santa Helena de Goiás,521930,9
Centro-Oeste,Goiás,Santa Isabel,521935,2
Centro-Oeste,Goiás,Santa Rita do Araguaia,521940,2
Centro-Oeste,Goiás,Santa Rita do Novo Destino,521945,2
Centro-Oeste,Goiás,Santa Rosa de Goiás,521950,1
Centro-Oeste,Goiás,Santa Tereza de Goiás,521960,2
Centro-Oeste,Goiás,Santa Terezinha de Goiás,521970,4
Centro-Oeste,Goiás,Santo Antônio da Barra,521971,1
Centro-Oeste,Goiás,Santo Antônio de Goiás,521973,2
Centro-Oeste,Goiás,Santo Antônio do Descoberto,521975,22
Centro-Oeste,Goiás,Senador Canedo,522045,24
Centro-Oeste,Goiás,Serranópolis,522050,4
Centro-Oeste,Goiás,Silvânia,522060,9
Centro-Oeste,Goiás,Simolândia,522068,2
Centro-Oeste,Goiás,São Domingos,521980,5
Centro-Oeste,Goiás,São Francisco de Goiás,521990,2
Centro-Oeste,Goiás,São João d'Aliança,522000,4
Centro-Oeste,Goiás,São João da Paraúna,522005,1
Centro-Oeste,Goiás,São Luiz do Norte,522015,1
Centro-Oeste,Goiás,São Luís de Montes Belos,522010,10
Centro-Oeste,Goiás,São Miguel do Araguaia,522020,7
Centro-Oeste,Goiás,São Miguel do Passa Quatro,522026,2
Centro-Oeste,Goiás,São Patrício,522028,1
Centro-Oeste,Goiás,São Simão,522040,9
Centro-Oeste,Goiás,Sítio d'Abadia,522070,3
Centro-Oeste,Goiás,Taquaral de Goiás,522100,2
Centro-Oeste,Goiás,Teresina de Goiás,522108,2
Centro-Oeste,Goiás,Terezópolis de Goiás,522119,1
Centro-Oeste,Goiás,Trindade,522140,32
Centro-Oeste,Goiás,Trombas,522145,2
Centro-Oeste,Goiás,Três Ranchos,522130,1
Centro-Oeste,Goiás,Turvelândia,522155,1
Centro-Oeste,Goiás,Turvânia,522150,2
Centro-Oeste,Goiás,Uirapuru,522157,1
Centro-Oeste,Goiás,Uruana,522170,6
Centro-Oeste,Goiás,Uruaçu,522160,14
Centro-Oeste,Goiás,Urutaí,522180,1
Centro-Oeste,Goiás,Valparaíso de Goiás,522185,38
Centro-Oeste,Goiás,Varjão,522190,1
Centro-Oeste,Goiás,Vianópolis,522200,5
Centro-Oeste,Goiás,Vicentinópolis,522205,6
Centro-Oeste,Goiás,Vila Boa,522220,2
Centro-Oeste,Goiás,Vila Propício,522230,2
Centro-Oeste,Goiás,Água Fria de Goiás,520017,3
Centro-Oeste,Goiás,Água Limpa,520020,2
Centro-Oeste,Goiás,Águas Lindas de Goiás,520025,28
Centro-Oeste,Mato Grosso,Acorizal,510010,1
Centro-Oeste,Mato Grosso,Alta Floresta,510025,19
Centro-Oeste,Mato Grosso,Alto Araguaia,510030,8
Centro-Oeste,Mato Grosso,Alto Boa Vista,510035,3
Centro-Oeste,Mato Grosso,Alto Garças,510040,4
Centro-Oeste,Mato Grosso,Alto Paraguai,510050,4
Centro-Oeste,Mato Grosso,Alto Taquari,510060,4
Centro-Oeste,Mato Grosso,Apiacás,510080,4
Centro-Oeste,Mato Grosso,Araguaiana,510100,1
Centro-Oeste,Mato Grosso,Araguainha,510120,1
Centro-Oeste,Mato Grosso,Araputanga,510125,5
Centro-Oeste,Mato Grosso,Arenápolis,510130,4
Centro-Oeste,Mato Grosso,Aripuanã,510140,6
Centro-Oeste,Mato Grosso,Barra do Bugres,510170,11
Centro-Oeste,Mato Grosso,Barra do Garças,510180,22
Centro-Oeste,Mato Grosso,Barão de Melgaço,510160,3
Centro-Oeste,Mato Grosso,Bom Jesus do Araguaia,510185,4
Centro-Oeste,Mato Grosso,Brasnorte,510190,7
Centro-Oeste,Mato Grosso,Campinápolis,510260,3
Centro-Oeste,Mato Grosso,Campo Novo do Parecis,510263,12
Centro-Oeste,Mato Grosso,Campo Verde,510267,17
Centro-Oeste,Mato Grosso,Campos de Júlio,510268,3
Centro-Oeste,Mato Grosso,Canabrava do Norte,510269,2
Centro-Oeste,Mato Grosso,Canarana,510270,9
Centro-Oeste,Mato Grosso,Carlinda,510279,6
Centro-Oeste,Mato Grosso,Castanheira,510285,3
Centro-Oeste,Mato Grosso,Chapada dos Guimarães,510300,11
Centro-Oeste,Mato Grosso,Cláudia,510305,5
Centro-Oeste,Mato Grosso,Cocalinho,510310,3
Centro-Oeste,Mato Grosso,Colniza,510325,8
Centro-Oeste,Mato Grosso,Colíder,510320,8
Centro-Oeste,Mato Grosso,Comodoro,510330,6
Centro-Oeste,Mato Grosso,Confresa,510335,9
Centro-Oeste,Mato Grosso,Conquista D'Oeste,510336,2
Centro-Oeste,Mato Grosso,Cotriguaçu,510337,6
Centro-Oeste,Mato Grosso,Cuiabá,510340,96
Centro-Oeste,Mato Grosso,Curvelândia,510343,2
Centro-Oeste,Mato Grosso,Cáceres,510250,19
Centro-Oeste,Mato Grosso,Denise,510345,3
Centro-Oeste,Mato Grosso,Diamantino,510350,12
Centro-Oeste,Mato Grosso,Dom Aquino,510360,5
Centro-Oeste,Mato Grosso,Feliz Natal,510370,4
Centro-Oeste,Mato Grosso,Figueirópolis D'Oeste,510380,1
Centro-Oeste,Mato Grosso,Gaúcha do Norte,510385,2
Centro-Oeste,Mato Grosso,General Carneiro,510390,3
Centro-Oeste,Mato Grosso,Glória D'Oeste,510395,2
Centro-Oeste,Mato Grosso,Guarantã do Norte,510410,11
Centro-Oeste,Mato Grosso,Guiratinga,510420,6
Centro-Oeste,Mato Grosso,Indiavaí,510450,1
Centro-Oeste,Mato Grosso,Ipiranga do Norte,510452,2
Centro-Oeste,Mato Grosso,Itanhangá,510454,4
Centro-Oeste,Mato Grosso,Itaúba,510455,2
Centro-Oeste,Mato Grosso,Itiquira,510460,5
Centro-Oeste,Mato Grosso,Jaciara,510480,8
Centro-Oeste,Mato Grosso,Jangada,510490,5
Centro-Oeste,Mato Grosso,Jauru,510500,4
Centro-Oeste,Mato Grosso,Juara,510510,11
Centro-Oeste,Mato Grosso,Juruena,510517,4
Centro-Oeste,Mato Grosso,Juscimeira,510520,5
Centro-Oeste,Mato Grosso,Juína,510515,16
Centro-Oeste,Mato Grosso,Lambari D'Oeste,510523,2
Centro-Oeste,Mato Grosso,Lucas do Rio Verde,510525,21
Centro-Oeste,Mato Grosso,Luciara,510530,2
Centro-Oeste,Mato Grosso,Marcelândia,510558,4
Centro-Oeste,Mato Grosso,Matupá,510560,6
Centro-Oeste,Mato Grosso,Mirassol d'Oeste,510562,8
Centro-Oeste,Mato Grosso,Nobres,510590,6
Centro-Oeste,Mato Grosso,Nortelândia,510600,4
Centro-Oeste,Mato Grosso,Nossa Senhora do Livramento,510610,3
Centro-Oeste,Mato Grosso,Nova Bandeirantes,510615,7
Centro-Oeste,Mato Grosso,Nova Brasilândia,510620,2
Centro-Oeste,Mato Grosso,Nova Canaã do Norte,510621,5
Centro-Oeste,Mato Grosso,Nova Guarita,510880,1
Centro-Oeste,Mato Grosso,Nova Lacerda,510618,3
Centro-Oeste,Mato Grosso,Nova Marilândia,510885,1
Centro-Oeste,Mato Grosso,Nova Maringá,510890,4
Centro-Oeste,Mato Grosso,Nova Monte Verde,510895,3
Centro-Oeste,Mato Grosso,Nova Mutum,510622,15
Centro-Oeste,Mato Grosso,Nova Nazaré,510617,3
Centro-Oeste,Mato Grosso,Nova Olímpia,510623,7
Centro-Oeste,Mato Grosso,Nova Santa Helena,510619,1
Centro-Oeste,Mato Grosso,Nova Ubiratã,510624,7
Centro-Oeste,Mato Grosso,Nova Xavantina,510625,6
Centro-Oeste,Mato Grosso,Novo Horizonte do Norte,510627,2
Centro-Oeste,Mato Grosso,Novo Mundo,510626,4
Centro-Oeste,Mato Grosso,Novo Santo Antônio,510631,1
Centro-Oeste,Mato Grosso,Novo São Joaquim,510628,3
Centro-Oeste,Mato Grosso,Paranatinga,510630,8
Centro-Oeste,Mato Grosso,Paranaíta,510629,5
Centro-Oeste,Mato Grosso,Pedra Preta,510637,4
Centro-Oeste,Mato Grosso,Peixoto de Azevedo,510642,8
Centro-Oeste,Mato Grosso,Planalto da Serra,510645,2
Centro-Oeste,Mato Grosso,Poconé,510650,11
Centro-Oeste,Mato Grosso,Pontal do Araguaia,510665,4
Centro-Oeste,Mato Grosso,Ponte Branca,510670,1
Centro-Oeste,Mato Grosso,Pontes e Lacerda,510675,12
Centro-Oeste,Mato Grosso,Porto Alegre do Norte,510677,5
Centro-Oeste,Mato Grosso,Porto Esperidião,510682,4
Centro-Oeste,Mato Grosso,Porto Estrela,510685,3
Centro-Oeste,Mato Grosso,Porto dos Gaúchos,510680,3
Centro-Oeste,Mato Grosso,Poxoréu,510700,7
Centro-Oeste,Mato Grosso,Primavera do Leste,510704,20
Centro-Oeste,Mato Grosso,Querência,510706,11
Centro-Oeste,Mato Grosso,Reserva do Cabaçal,510715,1
Centro-Oeste,Mato Grosso,Ribeirão Cascalheira,510718,6
Centro-Oeste,Mato Grosso,Ribeirãozinho,510719,1
Centro-Oeste,Mato Grosso,Rondolândia,510757,3
